artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs
Espen Aalberg,Drums,1975,NaN,True,1975-01-01,,45.0
Knut Aalefjær,Drums,1974-12-21,NaN,True,1974-12-21,,45.0
Brian Abrahams,vocalist,1947-06-26,NaN,True,1947-06-26,,73.0
Clarence Acox Jr.,Drums,1952,NaN,True,1952-01-01,,68.0
Airto Moreira,Drums,1941-08-05,NaN,True,1941-08-05,,79.0
Alex Acuña,Drums,1944-12-12,NaN,True,1944-12-12,,75.0
Annette A. Aguilar,Percussion,1957,NaN,True,1957-01-01,,63.0
Rashied Ali,Drums,1933-07-01,2009-08-12,False,1933-07-01,2009-08-12,76.0
Don Alias,Drums,1939-12-25,2006-03-28,False,1939-12-25,2006-03-28,66.0
Carl Allen,Drums,1961,NaN,True,1961-01-01,,59.0
Barry Altschul,Drums,1943-01-06,NaN,True,1943-01-06,,77.0
Leon Anderson,Drums,NaN,NaN,NaN,,,NaN
Charly Antolini,Drums,1937,NaN,True,1937-01-01,,83.0
Steve Argüelles,Drums,1963-11-16,NaN,True,1963-11-16,,56.0
John Armatage,Drums,1929-08-05,NaN,True,1929-08-05,,91.0
Joe Ascione,Drums,1961-03-14,2016-03-11,False,1961-03-14,2016-03-11,54.0
Jon Audun Baar,Drums,1986,NaN,True,1986-01-01,,34.0
Colin Bailey,Drums,1934-07-09,NaN,True,1934-07-09,,86.0
Dave Bailey,Drums,1926,NaN,True,1926-01-01,,94.0
Donald Bailey,Drums,1933-03-26,2013-10-15,False,1933-03-26,2013-10-15,80.0
Ginger Baker,Drums,1939-08-19,2019-10-06,False,1939-08-19,2019-10-06,80.0
Newman Taylor Baker,Washboard,1943,NaN,True,1943-01-01,,77.0
Butch Ballard,Drums,1918-12-26,2011-10-01,False,1918-12-26,2011-10-01,92.0
Tom Bancroft,Drums,1967,NaN,True,1967-01-01,,53.0
Paul Barbarin,Drums,1899-05-05,1969-02-17,False,1899-05-05,1969-02-17,69.0
Danny Barcelona,Drums,1929-07-23,2007-04-01,False,1929-07-23,2007-04-01,77.0
Joey Baron,Drums,1955-06-26,NaN,True,1955-06-26,,65.0
Ray Barretto,Congas,1929-04-29,2006-02-17,False,1929-04-29,2006-02-17,76.0
Ray Bauduc,Drums,1906-06-18,1988-01-08,False,1906-06-18,1988-01-08,81.0
Louie Bellson,Drums,1924-07-06,2009-02-14,False,1924-07-06,2009-02-14,84.0
Warren Benbow,Percussion,1954-12-22,NaN,True,1954-12-22,,65.0
Gregg Bendian,Drums,1963,NaN,True,1963-01-01,,57.0
Tommy Benford,Drum kit,1905-04-19,1994-03-24,False,1905-04-19,1994-03-24,88.0
Han Bennink,Drums,1942-04-17,NaN,True,1942-04-17,,78.0
Black Benny,Bass drum,1890,1924,False,1890-01-01,1924-01-01,33.0
Chief Bey,Drums,1913,2004,False,1913-01-01,2004-01-01,90.0
Big Bill Bissonnette,Drums,1937,2018,False,1937-01-01,2018-01-01,81.0
Snorre Bjerck,Percussion Drums Vocals,1962-02-25,NaN,True,1962-02-25,,58.0
Ivar Loe Bjørnstad,Drums,1981,NaN,True,1981-01-01,,39.0
James N. Black,Drums,1940,1988,False,1940-01-01,1988-01-01,48.0
Jim Black,Drums,1967,NaN,True,1967-01-01,,53.0
Cindy Blackman,Drums,1959-11-18,NaN,True,1959-11-18,,60.0
Ed Blackwell,Drums,1929-10-10,1992-10-07,False,1929-10-10,1992-10-07,62.0
Brian Blade,Drums,1970-07-25,NaN,True,1970-07-25,,50.0
Art Blakey,Drums,1919-10-11,1990-10-16,False,1919-10-11,1990-10-16,71.0
Johnny Blowers,Drums,1911,2006,False,1911-01-01,2006-01-01,95.0
Tiny Bradshaw,Drums,1907-09-23,1958-11-26,False,1907-09-23,1958-11-26,51.0
Stein Inge Brækhus,Drums,1967-02-12,NaN,True,1967-02-12,,53.0
Øyvind Brandtsegg,Xylophone,1971-02-16,NaN,True,1971-02-16,,49.0
Anthony Brown,Drums,NaN,NaN,NaN,,,NaN
Guillermo E. Brown,Drums,NaN,NaN,NaN,,,NaN
Bill Bruford,Drums,1949-05-17,NaN,True,1949-05-17,,71.0
Larry Bunker,Drums,1928-11-04,2005-03-08,False,1928-11-04,2005-03-08,76.0
Dominik Burkhalter,Drums,1975,NaN,True,1975-01-01,,45.0
Ronnie Burrage,Drums,1959,NaN,True,1959-01-01,,61.0
Frank Butler,Drums,1928-02-18,1984-07-24,False,1928-02-18,1984-07-24,56.0
Oleg Butman,Drums,1966,NaN,True,1966-01-01,,54.0
Will Calhoun,Drums,1964-07-22,NaN,True,1964-07-22,,56.0
Candido Camero,Conga,1921-04-22,NaN,True,1921-04-22,,99.0
Terri Lyne Carrington,Drums,1965-08-04,NaN,True,1965-08-04,,55.0
Michael Carvin,Drums,1944-12-12,NaN,True,1944-12-12,,75.0
Sid Catlett,Drums,1910,1951-03-25,False,1910-01-01,1951-03-25,41.0
Nick Ceroli,Drums,1939-12-22,1985-08-11,False,1939-12-22,1985-08-11,45.0
Dennis Chambers,Drums,1959-05-09,NaN,True,1959-05-09,,61.0
Joe Chambers,Drums,1942-06-25,NaN,True,1942-06-25,,78.0
Jim Chapin,Drums,1919,2009,False,1919-01-01,2009-01-01,90.0
Dennis Charles,Drums,1933,1998,False,1933-01-01,1998-01-01,65.0
Jon Christensen,Drums,1943-03-20,2020-02-17,False,1943-03-20,2020-02-17,76.0
Svein Christiansen,Drums and percussions,1941-08-06,2015-11-25,False,1941-08-06,2015-11-25,74.0
Kenny Clare,Drums,1929-06-08,1985-01-11,False,1929-06-08,1985-01-11,55.0
Mike Clark,Drums,1946-10-03,NaN,True,1946-10-03,,74.0
Kenny Clarke,Drums,1914-01-09,1985-01-26,False,1914-01-09,1985-01-26,71.0
Gerald Cleaver,Drums,1963-05-04,NaN,True,1963-05-04,,57.0
Jimmy Cobb,Drums,1929-01-20,2020-05-24,False,1929-01-20,2020-05-24,91.0
Billy Cobham,Drums,1944-05-16,NaN,True,1944-05-16,,76.0
Vinnie Colaiuta,Drums,1956-02-05,NaN,True,1956-02-05,,64.0
Cozy Cole,Drums,1909-10-17,1981-01-09,False,1909-10-17,1981-01-09,71.0
Clark Coolidge,Drums,1939,NaN,True,1939-01-01,,81.0
Pierre Courbois,Drums,1940,NaN,True,1940-01-01,,80.0
Tony Crombie,Drums,1925-08-27,1999-10-18,False,1925-08-27,1999-10-18,74.0
Stanley Crouch,Drums,1945,NaN,True,1945-01-01,,75.0
Adam Cruz,Drums,1970,NaN,True,1970-01-01,,50.0
Andrew Cyrille,Drums,1939-11-10,NaN,True,1939-11-10,,80.0
Erland Dahlen,Drums,1971-05-15,NaN,True,1971-05-15,,49.0
Børre Dalhaug,Drums,1974-04-29,NaN,True,1974-04-29,,46.0
Quincy Davis,Drums,1977,NaN,True,1977-01-01,,43.0
Alan Dawson,Drums,1929-07-14,1996-02-23,False,1929-07-14,1996-02-23,66.0
Barrett Deems,Drums,1914,1998,False,1914-01-01,1998-01-01,84.0
Jack DeJohnette,Drums,1942-08-09,NaN,True,1942-08-09,,78.0
Eric Delaney,Drums,1924,2011,False,1924-01-01,2011-01-01,87.0
John Densmore,Drums,1944-12-01,NaN,True,1944-12-01,,75.0
Buddy Deppenschmidt,Drums,1936,NaN,True,1936-01-01,,84.0
Joe DeRenzo,Drums and percussion,1958-11-01,NaN,True,1958-11-01,,61.0
Xavier Desandre Navarre,percussions,1961,NaN,True,1961-01-01,,59.0
Whit Dickey,Drums,1954-05-28,NaN,True,1954-05-28,,66.0
Baby Dodds,Drums,1898,1959-02-14,False,1898-01-01,1959-02-14,61.0
Bill Dowdy,Drums,1932-08-15,2017-05-12,False,1932-08-15,2017-05-12,84.0
Hamid Drake,Drums,1955-08-03,NaN,True,1955-08-03,,65.0
Martin Drew,Drums,1944-02-11,2010-07-29,False,1944-02-11,2010-07-29,66.0
Buzzy Drootin,Drums,1920,2000,False,1920-01-01,2000-01-01,80.0
Billy Drummond,Drums,1959-06-15,NaN,True,1959-06-15,,61.0
Billie Davies,Drums,1955-12-10,NaN,True,1955-12-10,,64.0
Marc Edwards,Drums,1949-07-23,NaN,True,1949-07-23,,71.0
Kenneth Ekornes,Drums and other percussion,1974-07-07,NaN,True,1974-07-07,,46.0
Torstein Ellingsen,Drums,1966-08-07,NaN,True,1966-08-07,,54.0
Peter Erskine,Drums,1954-06-05,NaN,True,1954-06-05,,66.0
Jon Fält,Drums,1979,NaN,True,1979-01-01,,41.0
Joe Farnsworth,Drums,1968,NaN,True,1968-01-01,,52.0
Billy Ficca,Drums,1950-02-15,NaN,True,1950-02-15,,70.0
Chuck Flores,Drums,1935,2016,False,1935-01-01,2016-01-01,81.0
Al Foster,Drums,1943-01-18,NaN,True,1943-01-18,,77.0
Vernel Fournier,Drums,1928,2000,False,1928-01-01,2000-01-01,72.0
"David ""Panama"" Francis",Drums,1918-12-21,2001-11-13,False,1918-12-21,2001-11-13,82.0
Future Man,Drumitar,1957-10-13,NaN,True,1957-10-13,,62.0
Alvin Fielder,Drummer,1935-11-23,2019-01-05,False,1935-11-23,2019-01-05,83.0
Shinya Fukumori,Drums,1984-01-05,NaN,True,1984-01-05,,36.0
Steve Gadd,Drums,1945-04-09,NaN,True,1945-04-09,,75.0
Rich Galichon,Drums,1968,NaN,True,1968-01-01,,52.0
Stéphane Galland,Drums,1969-10-27,NaN,True,1969-10-27,,50.0
Alvester Garnett,Drums,1970,NaN,True,1970-01-01,,50.0
Håkon Gebhardt,Drums,1969-06-21,NaN,True,1969-06-21,,51.0
Peter Giger,Drums,1939,NaN,True,1939-01-01,,81.0
Marcus Gilmore,Drums,1986-10-10,NaN,True,1986-10-10,,33.0
Jan Martin Gismervik,Drums,1988,NaN,True,1988-01-01,,32.0
Sverre Gjørvad,Drums,1966-10-26,NaN,True,1966-10-26,,53.0
Paul Goldberg,Drums,1959,NaN,True,1959-01-01,,61.0
Danny Gottlieb,Drums,1953-04-18,NaN,True,1953-04-18,,67.0
Bobby Graham,Drums,1940-03-11,2009-09-14,False,1940-03-11,2009-09-14,69.0
Milford Graves,Drums,1941-08-20,NaN,True,1941-08-20,,79.0
Freddie Gruber,Drums,1927-05-27,2011-10-11,False,1927-05-27,2011-10-11,84.0
Benny Greb,Drums,1980-06-13,NaN,True,1980-06-13,,40.0
Mark Guiliana,Drums,1980-09-02,NaN,True,1980-09-02,,40.0
Omar Hakim,Drums,1959-02-12,NaN,True,1959-02-12,,61.0
Dana Hall,Drums,1969-03-13,NaN,True,1969-03-13,,51.0
Tubby Hall,Drums,1895,1945,False,1895-01-01,1945-01-01,49.0
Chico Hamilton,Drums,1921-09-20,2013-11-25,False,1921-09-20,2013-11-25,92.0
Jeff Hamilton,Drums,1953-08-04,NaN,True,1953-08-04,,67.0
Ole Hamre,Drums,1959-10-10,NaN,True,1959-10-10,,60.0
Ole Jacob Hansen,Drums,1940-04-16,2000-03-06,False,1940-04-16,2000-03-06,59.0
Trond Sverre Hansen,Drums,1964-01-27,NaN,True,1964-01-27,,56.0
Jake Hanna,Drums,1931-04-04,2010-02-12,False,1931-04-04,2010-02-12,78.0
Al Harewood,Drums,1923,2014,False,1923-01-01,2014-01-01,91.0
Eric Harland,Drums,1976-11-08,NaN,True,1976-11-08,,43.0
Beaver Harris,Drums,1936,1991,False,1936-01-01,1991-01-01,55.0
Gavin Harrison,Drums,1963-05-28,NaN,True,1963-05-28,,57.0
Billy Hart,Drums,1940-11-29,NaN,True,1940-11-29,,79.0
Jakop Janssønn Hauan,Drums,1986-07-11,NaN,True,1986-07-11,,34.0
Tor Haugerud,Percussion,1962-01-07,NaN,True,1962-01-07,,58.0
Pål Hausken,Drums,1980-08-25,NaN,True,1980-08-25,,40.0
Manfred Hausleitner,Drums,1957-05-11,NaN,True,1957-05-11,,63.0
Louis Hayes,Drums,1937-05-31,NaN,True,1937-05-31,,83.0
Roy Haynes,Drums,1925-03-13,NaN,True,1925-03-13,,95.0
J. C. Heard,Drums,1917-08-10,1988-09-27,False,1917-08-10,1988-09-27,71.0
"Albert ""Tootie"" Heath",Drums,1935-05-31,NaN,True,1935-05-31,,85.0
Gerry Hemingway,Drums,1955,NaN,True,1955-01-01,,65.0
"Horacio ""El Negro"" Hernandez",Drums,1963-04-24,NaN,True,1963-04-24,,57.0
Billy Higgins,Drums,1936-10-11,2001-05-03,False,1936-10-11,2001-05-03,64.0
Per Hillestad,Drums and percussions,1959-03-25,NaN,True,1959-03-25,,61.0
Ari Hoenig,Drums,1973-11-13,NaN,True,1973-11-13,,46.0
Wetle Holte,Drums,1973-09-04,NaN,True,1973-09-04,,47.0
Bob Holz,Drums,1958-02-03,NaN,True,1958-02-03,,62.0
Martin Horntveth,Drums,1977-09-20,NaN,True,1977-09-20,,43.0
William Hooker,Drums,1946,NaN,True,1946-01-01,,74.0
Stix Hooper,Drums,1938-08-15,NaN,True,1938-08-15,,82.0
Hans Hulbækmo,Drums,1989,NaN,True,1989-01-01,,31.0
Roger Humphries,Drums,1944-01-30,NaN,True,1944-01-30,,76.0
Gary Husband,Drums,1960-06-14,NaN,True,1960-06-14,,60.0
Gregory Hutchinson,Drums,1970,NaN,True,1970-01-01,,50.0
Susie Ibarra,Drums,1970,NaN,True,1970-01-01,,50.0
Eric Ineke,Drums,1947-04-01,NaN,True,1947-04-01,,73.0
Terje Isungset,Drums,1964-05-04,NaN,True,1964-05-04,,56.0
Ronald Shannon Jackson,Drums,1940-01-12,2013-10-19,False,1940-01-12,2013-10-19,73.0
Frank Jakobsen,Drums,1954-04-28,NaN,True,1954-04-28,,66.0
Marcin Jahr,Drums,1969,NaN,True,1969-01-01,,51.0
Clifford Jarvis,Drums,1941,1999,False,1941-01-01,1999-01-01,57.0
Bjørn Jenssen,Drums,1959,NaN,True,1959-01-01,,61.0
Egil Johansen,Drums,1934-01-11,1998-12-04,False,1934-01-11,1998-12-04,64.0
Håkon Mjåset Johansen,Drums,1975-08-01,NaN,True,1975-08-01,,45.0
Per Oddvar Johansen,Drums,1968-03-01,NaN,True,1968-03-01,,52.0
Roger Johansen,Drums,1972-07-29,NaN,True,1972-07-29,,48.0
Dink Johnson,Drums,1882,1954,False,1882-01-01,1954-01-01,71.0
Gus Johnson,Drums,1913-11-15,2000-02-06,False,1913-11-15,2000-02-06,86.0
Osie Johnson,Drums,1923,1966,False,1923-01-01,1966-01-01,43.0
Elvin Jones,Drums,1927-09-09,2004-05-18,False,1927-09-09,2004-05-18,76.0
Jo Jones,Drums,1911-10-07,1985-09-03,False,1911-10-07,1985-09-03,73.0
Philly Joe Jones,Drums,1923-07-15,1985-08-30,False,1923-07-15,1985-08-30,62.0
Rusty Jones,Drums,1942-04-13,2015-12-09,False,1942-04-13,2015-12-09,73.0
Willie Jones,Drums,1929,1991,False,1929-01-01,1991-01-01,61.0
Robert Jospé,Drums,1950-04-17,NaN,True,1950-04-17,,70.0
Kenneth Kapstad,Drums,1979-04-20,NaN,True,1979-04-20,,41.0
Chris Karan,Drums,1939,NaN,True,1939-01-01,,81.0
Manu Katché,Drums,1958-10-27,NaN,True,1958-10-27,,61.0
Connie Kay,Drums,1927-04-27,1994-11-30,False,1927-04-27,1994-11-30,67.0
Franklin Kiermyer,Drums,1956-07-21,NaN,True,1956-07-21,,64.0
Johnny Klein,Drums,1918,1997,False,1918-01-01,1997-01-01,79.0
Lala Kovačev,Drums,1939-11-19,2012-09-02,False,1939-11-19,2012-09-02,72.0
Gene Krupa,Drums,1909-01-15,1973-10-16,False,1909-01-15,1973-10-16,64.0
David King,Drums,1970,NaN,True,1970-01-01,,50.0
Audun Kleive,Drums,1961-10-20,NaN,True,1961-10-20,,58.0
Andreas Lønmo Knudsrød,Drums,1982-01-01,NaN,True,1982-01-01,,38.0
Ivar Kolve,Vibraphone,1967-03-31,NaN,True,1967-03-31,,53.0
Joe LaBarbera,Drums,1948-02-22,NaN,True,1948-02-22,,72.0
Thomas Lang,Drums,1967-08-05,NaN,True,1967-08-05,,53.0
Pete La Roca,Drums,1938-04-07,2012-11-20,False,1938-04-07,2012-11-20,74.0
Papa Jack Laine,Drums,1873-09-21,1966-06-01,False,1873-09-21,1966-06-01,92.0
Stan Levey,Drums,1926-04-05,2005-04-19,False,1926-04-05,2005-04-19,79.0
Torstein Lofthus,Drums,1977-03-10,NaN,True,1977-03-10,,43.0
Mel Lewis,Drums,1929-05-10,1990-02-02,False,1929-05-10,1990-02-02,60.0
Henrik Lødøen,Drums,1991-10-20,NaN,True,1991-10-20,,28.0
Olavi Louhivuori,Drums,1981-07-13,NaN,True,1981-07-13,,39.0
Jojo Mayer,Drums,1963-01-18,NaN,True,1963-01-18,,57.0
Ray McKinley,Drums,1910-06-18,1995-05-07,False,1910-06-18,1995-05-07,84.0
William McKinney,Drums,1895,1969,False,1895-01-01,1969-01-01,74.0
Shelly Manne,Drums,1920-06-11,1984-09-26,False,1920-06-11,1984-09-26,64.0
Larance Marable,Drums,1929,2012,False,1929-01-01,2012-01-01,82.0
Jason Marsalis,Drums,1977-03-04,NaN,True,1977-03-04,,43.0
Barrett Martin,Drums,1967-04-14,NaN,True,1967-04-14,,53.0
Billy Martin,Drums,1928,1989,False,1928-01-01,1989-01-01,61.0
Harvey Mason,Drums,1947-02-22,NaN,True,1947-02-22,,73.0
Marilyn Mazur,Drums,1955-01-18,NaN,True,1955-01-18,,65.0
Butch Miles,Drums,1944-07-04,NaN,True,1944-07-04,,76.0
Mitch Mitchell,Drums,1946-07-09,2008-11-12,False,1946-07-09,2008-11-12,62.0
Charles Moffett,Drum kit,1929-09-06,1997-02-14,False,1929-09-06,1997-02-14,67.0
Ole Mofjell,Drums,1990-07-11,NaN,True,1990-07-11,,30.0
Louis Moholo,Drums,1940-03-10,NaN,True,1940-03-10,,80.0
T. S. Monk,Drums,1949-12-27,NaN,True,1949-12-27,,70.0
Mark Mondesir,Drums,1964,NaN,True,1964-01-01,,56.0
Joe Morello,Drums,1928-07-17,2011-03-12,False,1928-07-17,2011-03-12,82.0
Ikue Mori,Drums,1953-12-17,NaN,True,1953-12-17,,66.0
Paul Motian,Drums,1931-03-25,2011-11-22,False,1931-03-25,2011-11-22,80.0
Alphonse Mouzon,Drums,1948-11-21,2016-12-25,False,1948-11-21,2016-12-25,68.0
Famoudou Don Moye,Drums,1946-05-23,NaN,True,1946-05-23,,74.0
Idris Muhammad,Drums,1939-11-13,2014-07-29,False,1939-11-13,2014-07-29,74.0
Günter Müller,Drums,1954,NaN,True,1954-01-01,,66.0
Don Mumford,Drums,1954,2007,False,1954-01-01,2007-01-01,53.0
Sunny Murray,Drums,1936-09-21,2017-12-07,False,1936-09-21,2017-12-07,81.0
Lewis Nash,Drums,1958-12-30,NaN,True,1958-12-30,,61.0
Adam Nussbaum,Drums,1955-11-29,NaN,True,1955-11-29,,64.0
Gard Nilssen,Drums,1983-06-24,NaN,True,1983-06-24,,37.0
Paal Nilssen-Love,Drums,1974-12-24,NaN,True,1974-12-24,,45.0
Helge Andreas Norbakken,Drums,1965,NaN,True,1965-01-01,,55.0
Hermund Nygård,Drums,1979-05-16,NaN,True,1979-05-16,,41.0
Erik Nylander,Drums,1981-04-03,NaN,True,1981-04-03,,39.0
Kim Ofstad,Drums,1969-11-25,NaN,True,1969-11-25,,50.0
Tom Olstad,Drums,1953-04-13,NaN,True,1953-04-13,,67.0
Tiger Onitsuka,Drums,1998-07-09,NaN,True,1998-07-09,,22.0
Kåre Opheim,Drums,1975-10-02,NaN,True,1975-10-02,,45.0
Bobby Orr,Drums,1928,2020,False,1928-01-01,2020-01-01,92.0
Magnus Öström,Drums,1965-05-03,NaN,True,1965-05-03,,55.0
Tony Oxley,Drums,1938-06-15,NaN,True,1938-06-15,,82.0
Svein Øvergaard,Drums,1912-01-01,1986-11-23,False,1912-01-01,1986-11-23,74.0
Earl Palmer,Drums,1924-10-25,2008-09-19,False,1924-10-25,2008-09-19,83.0
Sonny Payne,Drums,1926-05-04,1979-01-29,False,1926-05-04,1979-01-29,52.0
Clarence Penn,Drums,1968-03-02,NaN,True,1968-03-02,,52.0
Paul Peress,Drums,NaN,NaN,NaN,,,NaN
Charlie Persip,Drums,1929-07-26,2020-08-23,False,1929-07-26,2020-08-23,91.0
"Ralph Peterson, Jr.",Drums,1962-05-20,NaN,True,1962-05-20,,58.0
Simon Phillips,Drums,1957-02-06,NaN,True,1957-02-06,,63.0
Ben Pollack,Drums,1903-06-22,1971-06-07,False,1903-06-22,1971-06-07,67.0
Joe Porcaro,Drums,1930-04-29,2020-07-06,False,1930-04-29,2020-07-06,90.0
Richie Pratt,Drums,1943-03-11,2015-02-12,False,1943-03-11,2015-02-12,71.0
Bobby Previte,Drums,1951-07-16,NaN,True,1951-07-16,,69.0
Bernard Purdie,Drums,1939-06-11,NaN,True,1939-06-11,,81.0
Buddy Rich,Drums,1917-09-30,1987-04-02,False,1917-09-30,1987-04-02,69.0
Dannie Richmond,Drums,1931-12-15,1988-03-16,False,1931-12-15,1988-03-16,56.0
Alex Riel,Drums,1940-09-13,NaN,True,1940-09-13,,80.0
Karriem Riggins,Drums,1975-08-25,NaN,True,1975-08-25,,45.0
Ben Riley,Drums,1933-07-17,2017-11-18,False,1933-07-17,2017-11-18,84.0
Herlin Riley,Drums,1957-02-15,NaN,True,1957-02-15,,63.0
John Riley,Drums,1954-06-11,NaN,True,1954-06-11,,66.0
Max Roach,Drums,1924-01-10,2007-08-16,False,1924-01-10,2007-08-16,83.0
David Rokeach,Drums,NaN,NaN,NaN,,,NaN
Jay Rosen,Drums,1961-11-20,NaN,True,1961-11-20,,58.0
Hal Russell,Drums,1926-08-28,1992-09-05,False,1926-08-28,1992-09-05,66.0
Bobby Sanabria,Drums,1957-06-02,NaN,True,1957-06-02,,63.0
Antonio Sánchez,Drums,1971-11-01,NaN,True,1971-11-01,,48.0
Ernst-Wiggo Sandbakk,Drums,1957-09-28,NaN,True,1957-09-28,,63.0
Red Saunders,Drums,1912-03-02,1981-03-05,False,1912-03-02,1981-03-05,69.0
Aaron Scott,Drums,1956,NaN,True,1956-01-01,,64.0
Kendrick Scott,Drums,1980-07-08,NaN,True,1980-07-08,,40.0
Phil Seamen,Drums,1926-08-28,1972-10-13,False,1926-08-28,1972-10-13,46.0
Ed Shaughnessy,Drums,1929-01-29,2013-05-24,False,1929-01-29,2013-05-24,84.0
Michael Shrieve,Drums,1949-07-06,NaN,True,1949-07-06,,71.0
Zutty Singleton,Drums,1898-05-14,1975-07-14,False,1898-05-14,1975-07-14,77.0
"Marvin ""Smitty"" Smith",Drums,1961,NaN,True,1961-01-01,,59.0
Michael S. Smith,Drums,1946-01-30,2006-01-02,False,1946-01-30,2006-01-02,59.0
Steve Smith,Drums,1954-08-21,NaN,True,1954-08-21,,66.0
Viola Smith,Drums,1912-11-29,NaN,True,1912-11-29,,107.0
Ed Soph,Drums,1945,NaN,True,1945-01-01,,75.0
George Spanos,Drums,1979,NaN,True,1979-01-01,,41.0
Ronnie Stephenson,Drums,1937-01-26,2002-08-08,False,1937-01-26,2002-08-08,65.0
John Stevens,Drums,1940-06-10,1994,False,1940-06-10,1994-01-01,53.0
Bill Stewart,Drums,1966-10-18,NaN,True,1966-10-18,,53.0
Alvin Stoller,Drums,1925-10-07,1992-10-19,False,1925-10-07,1992-10-19,67.0
Isak Strand,Drums,1982-03-08,NaN,True,1982-03-08,,38.0
Thomas Strønen,Drums,1972-12-07,NaN,True,1972-12-07,,47.0
Norbert Susemihl,Trumpet,1956-08-26,NaN,True,1956-08-26,,64.0
Tani Tabbal,Drums,NaN,NaN,NaN,,,NaN
Grady Tate,Drums,1932-01-14,2017-10-08,False,1932-01-14,2017-10-08,85.0
Art Taylor,Drums,1929-04-06,1995-02-06,False,1929-04-06,1995-02-06,65.0
Ed Thigpen,Drums,1930-12-28,2010-01-13,False,1930-12-28,2010-01-13,79.0
Chester Thompson,Drums,1948-12-11,NaN,True,1948-12-11,,71.0
Cal Tjader,Vibraphone,1925-07-16,1982-05-05,False,1925-07-16,1982-05-05,56.0
Dave Tough,Drums,1907-04-26,1948-12-09,False,1907-04-26,1948-12-09,41.0
Trevor Tomkins,Drums,1941-05-12,NaN,True,1941-05-12,,79.0
Vinson Valega,Drums,1965,NaN,True,1965-01-01,,55.0
Ronnie Verrell,Drums,1926-02-21,2002,False,1926-02-21,2002-01-01,75.0
Edward Vesala,Drums,1945-02-15,1999-12-04,False,1945-02-15,1999-12-04,54.0
Tommy Vig,Vibraharp,1938-07-14,NaN,True,1938-07-14,,82.0
Chad Wackerman,Drums,1960-03-25,NaN,True,1960-03-25,,60.0
Fredrik Wallumrød,Drums,1973-09-21,NaN,True,1973-09-21,,47.0
Kenny Washington,Drums,1958-05-29,NaN,True,1958-05-29,,62.0
"Jeff ""Tain"" Watts",Drums,1960,NaN,True,1960-01-01,,60.0
Chick Webb,Drums,1905-02-10,1939-06-16,False,1905-02-10,1939-06-16,34.0
Dave Weckl,Drums,1960-01-08,NaN,True,1960-01-08,,60.0
Paul Wertico,Drums,1953-01-05,NaN,True,1953-01-05,,67.0
Lenny White,Drums,1949-12-19,NaN,True,1949-12-19,,70.0
Maurice White,Vocals,1941-12-19,2016-02-04,False,1941-12-19,2016-02-04,74.0
Steve White,Drums,1965-05-31,NaN,True,1965-05-31,,55.0
Andreas Wildhagen,Drums,1988-07-31,NaN,True,1988-07-31,,32.0
Jeff Williams,Drums,1950-07-06,NaN,True,1950-07-06,,70.0
Johnny Williams,Drums,1905-11-15,1985-10-19,False,1905-11-15,1985-10-19,79.0
Tony Williams,Drums,1945-12-12,1997-02-23,False,1945-12-12,1997-02-23,51.0
Greg Williamson,Drums,NaN,NaN,NaN,,,NaN
