artist,instrument,birthdate,deathdate,alive,bday_dt,dday_dt,age_yrs,cause_of_death,Column1
Irving Aaronson,Piano,1895,3/10/1963,FALSE,1895-01-01,3/10/1963,68,Heart Attack,
Anders Aarum,Piano,12/17/1974,NaN,TRUE,12/17/1974,,45,NaN,
Mike Abene,Piano,1942,NaN,TRUE,1/1/1942,,78,NaN,
Don Abney,Piano,1923,1/20/2000,FALSE,1/1/1923,1/20/2000,77,Kidney Dialysis,
Chris Abrahams,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Muhal Richard Abrams,Piano,9/19/1930,10/29/2017,FALSE,9/19/1930,10/29/2017,87,NaN,
John Adriano Acea,Piano,1917,1963,FALSE,1/1/1917,1/1/1963,45,NaN,
Beegie Adair,Piano,12/11/1937,NaN,TRUE,12/11/1937,,82,NaN,
Kei Akagi,Piano,3/16/1953,NaN,TRUE,3/16/1953,,67,NaN,
Toshiko Akiyoshi,Piano,12/12/1929,NaN,TRUE,12/12/1929,,90,NaN,
Erling Aksdal Jr.,Piano,2/18/1953,NaN,TRUE,2/18/1953,,67,NaN,
Joe Albany,Piano,1/24/1924,1/12/1988,FALSE,1/24/1924,1/12/1988,63,Heart Attack,
Tony Aless,Piano,8/28/1921,1/11/1988,FALSE,8/28/1921,1/11/1988,66,NaN,
Charlie Alexander,Piano,1890,1970,FALSE,1890-01-01,1/1/1970,79,NaN,
Joey Alexander,Piano,6/25/2003,NaN,TRUE,6/25/2003,,17,NaN,
Monty Alexander,Piano,6/6/1944,NaN,TRUE,6/6/1944,,76,NaN,
Sinan Alimanović,Piano,2/11/1954,NaN,TRUE,2/11/1954,,66,NaN,
Esther Allan,Piano,1914,1985,FALSE,1/1/1914,1/1/1985,71,Heart Failure,
Geri Allen,Piano,1957,2017,FALSE,1/1/1957,1/1/2017,60,Cancer,
Steve Allen,Piano,1921,2000,FALSE,1/1/1921,1/1/2000,78,Car Accident,
Mose Allison,Piano,11/11/1927,11/15/2016,FALSE,11/11/1927,11/15/2016,89,NaN,
Mikhail Alperin,Piano,11/7/1956,5/11/2018,FALSE,11/7/1956,5/11/2018,61,NaN,
Helio Alves,Piano,1966,NaN,TRUE,1/1/1966,,54,NaN,
Jimmy Amadie,Piano,1937,2013,FALSE,1/1/1937,1/1/2013,76,Cancer (Lung),
Albert Ammons,Piano,3/1/1907,12/2/1949,FALSE,3/1/1907,12/2/1949,42,Natural Causes,
Franck Amsallem,Piano,10/25/1961,NaN,TRUE,10/25/1961,,58,NaN,
Chris Anderson,Piano,2/26/1926,2/4/2008,FALSE,2/26/1926,2/4/2008,81,Stroke,
Bill Anschell,Piano,NaN,NaN,NaN,,,NaN,NaN,
Jim Aton,Double bass,1925,2008,FALSE,1/1/1925,1/1/2008,82,NaN,
Ivar Antonsen,Piano,4/16/1946,NaN,TRUE,4/16/1946,,74,NaN,
Lil Hardin Armstrong,Piano,1898,8/27/1971,FALSE,1898-01-01,8/27/1971,73,Heart Attack,
Dag Arnesen,Piano,5/3/1950,NaN,TRUE,5/3/1950,,70,NaN,
Lynne Arriale,Piano,1957,NaN,TRUE,1/1/1957,,63,NaN,
Roy Assaf,Piano,NaN,NaN,NaN,,,NaN,NaN,
Ehud Asherie,Piano,1979,NaN,TRUE,1/1/1979,,41,NaN,
Fahir Atakoğlu,Piano,NaN,NaN,NaN,,,NaN,NaN,
Eivind Austad,Piano,11/3/1973,NaN,TRUE,11/3/1973,,46,NaN,
Lovie Austin,Piano,1887-09-19,7/8/1972,FALSE,1887-09-19,7/8/1972,84,NaN,
Franck Avitabile,Piano,11/24/1971,NaN,TRUE,11/24/1971,,48,NaN,
Rafig Babayev,Piano,3/31/1937,3/19/1994,FALSE,3/31/1937,3/19/1994,56,Victim of Terrorism,
Ilir Bajri,Piano,1969,NaN,TRUE,1/1/1969,,51,NaN,
Bob Baldwin,Piano,1960,NaN,TRUE,1/1/1960,,60,NaN,
Jon Balke,Piano,6/7/1955,NaN,TRUE,6/7/1955,,65,NaN,
Jon Ballantyne,Piano,1963,NaN,TRUE,1/1/1963,,57,NaN,
Louis Banks,Piano,2/11/1941,NaN,TRUE,2/11/1941,,79,NaN,
Patricia Barber,Vocals,11/8/1955,NaN,TRUE,11/8/1955,,64,NaN,
Kenny Barron,Piano,6/9/1943,NaN,TRUE,6/9/1943,,77,NaN,
Bruce Barth,Piano,9/7/1958,NaN,TRUE,9/7/1958,,62,NaN,
Nik Bärtsch,Piano,1971,NaN,TRUE,1/1/1971,,49,NaN,
Count Basie,Piano,8/21/1904,4/26/1984,FALSE,8/21/1904,4/26/1984,79,Cancer (Pancreas),
Dave Bass,Piano,6/21/1950,NaN,TRUE,6/21/1950,,70,NaN,
Django Bates,Piano,10/2/1960,NaN,TRUE,10/2/1960,,59,NaN,
Jonathan Batiste,Piano,11/11/1986,NaN,TRUE,11/11/1986,,33,NaN,
Stefano Battaglia,Piano,1965,NaN,TRUE,1/1/1965,,55,NaN,
Emily Bear,Piano,8/30/2001,NaN,TRUE,8/30/2001,,19,NaN,
Jim Beard,Keyboards,8/26/1960,NaN,TRUE,8/26/1960,,60,NaN,
John Beasley,Piano,10/10/1960,NaN,TRUE,10/10/1960,,59,NaN,
Gordon Beck,Piano,9/16/1935,11/6/2011,FALSE,9/16/1935,11/6/2011,76,NaN,
Burak Bedikyan,Piano,NaN,NaN,NaN,,,NaN,NaN,
Peter Beets,Piano,6/12/1971,NaN,TRUE,6/12/1971,,49,NaN,
Richie Beirach,Piano,5/23/1947,NaN,TRUE,5/23/1947,,73,NaN,
Martin Bejerano,Piano,NaN,NaN,NaN,,,NaN,NaN,
Marco Benevento,Piano,7/22/1977,NaN,TRUE,7/22/1977,,43,NaN,
David Benoit,Piano,8/18/1953,NaN,TRUE,8/18/1953,,67,NaN,
Espen Berg,Piano,6/30/1983,NaN,TRUE,6/30/1983,,37,NaN,
Shelly Berg,Piano,1955,NaN,TRUE,1/1/1955,,65,NaN,
Borah Bergman,Piano,12/13/1926,10/18/2012,FALSE,12/13/1926,10/18/2012,85,Dementia,
David Berkman,Piano,1958,NaN,TRUE,1/1/1958,,62,NaN,
Mark Berman,Piano,NaN,NaN,NaN,,,NaN,NaN,
Warren Bernhardt,Piano,1938,NaN,TRUE,1/1/1938,,82,NaN,
Ove Alexander Billington,Piano,8/10/1979,NaN,TRUE,8/10/1979,,41,NaN,
Károly Binder,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Adam Birnbaum,Piano,1979,NaN,TRUE,1/1/1979,,41,NaN,
Michel Bisceglia,Piano,1/4/1970,NaN,TRUE,1/4/1970,,50,NaN,
"Walter Bishop, Jr.",Piano,10/4/1927,1/24/1998,FALSE,10/4/1927,1/24/1998,70,Heart Attack,
Terje Bjørklund,Piano,1/2/1945,NaN,TRUE,1/2/1945,,75,NaN,
Ketil Bjørnstad,Piano,4/25/1952,NaN,TRUE,4/25/1952,,68,NaN,
Miles Black,Piano,4/13/1966,NaN,TRUE,4/13/1966,,54,NaN,
Eubie Blake,Piano,1887-02-07,2/12/1983,FALSE,1887-02-07,2/12/1983,96,NaN,
Ran Blake,Piano,4/20/1935,NaN,TRUE,4/20/1935,,85,NaN,
Paul Bley,Piano,11/10/1932,1/3/2016,FALSE,11/10/1932,1/3/2016,83,Natural Causes,
Carla Bley,Piano,5/11/1936,NaN,TRUE,5/11/1936,,84,NaN,
Oddbjørn Blindheim,Piano,2/24/1944,NaN,TRUE,2/24/1944,,76,NaN,
Brynjulf Blix,Piano,12/20/1951,NaN,TRUE,12/20/1951,,68,NaN,
Jimmy Blythe,Piano,5/20/1901,6/14/1931,FALSE,5/20/1901,6/14/1931,30,Meningitis,
Stefano Bollani,Piano,12/5/1972,NaN,TRUE,12/5/1972,,47,NaN,
Claude Bolling,Piano,4/10/1930,NaN,TRUE,4/10/1930,,90,NaN,
Rune Brøndbo,Keyboards,3/2/1968,NaN,TRUE,3/2/1968,,52,NaN,
Joe Bonner,Piano,1948,NaN,TRUE,1/1/1948,,72,NaN,
Beryl Booker,Piano,6/7/1922,9/30/1978,FALSE,6/7/1922,9/30/1978,56,NaN,
James Booker,Keyboards,12/17/1939,1983,FALSE,12/17/1939,1/1/1983,43,Kidney Failure,
Thomas Borino,Piano,NaN,NaN,NaN,,,NaN,NaN,
Michiel Borstlap,Piano,8/5/1966,NaN,TRUE,8/5/1966,,54,NaN,
Kris Bowers,Piano,1989,NaN,TRUE,1/1/1989,,31,NaN,
Ivan Božičević,Piano,1961,NaN,TRUE,1/1/1961,,59,NaN,
Joanne Brackeen,Piano,7/26/1938,NaN,TRUE,7/26/1938,,82,NaN,
David Braid,Piano,3/25/1975,NaN,TRUE,3/25/1975,,45,NaN,
Alan Broadbent,Piano,4/23/1947,NaN,TRUE,4/23/1947,,73,NaN,
Hadda Brooks,Piano,10/29/1916,11/21/2002,FALSE,10/29/1916,11/21/2002,86,Surgery Complications,
Charles Brown,Piano,9/13/1922,1/21/1999,FALSE,9/13/1922,1/21/1999,76,Heart Failure,
Cleo Brown,Piano,or,NaN,TRUE,,,nan,NaN,
Donald Brown,Piano,3/28/1954,NaN,TRUE,3/28/1954,,66,NaN,
"Vernell Brown, Jr.",Piano,8/13/1971,NaN,TRUE,8/13/1971,,49,NaN,
Brian Browne,Piano,3/16/1937,6/5/2018,FALSE,3/16/1937,6/5/2018,81,Cancer (Lung),
Dave Brubeck,Piano,12/6/1920,12/5/2012,FALSE,12/6/1920,12/5/2012,91,Heart Failure,
Rainer Brüninghaus,Piano,1949,NaN,TRUE,1/1/1949,,71,NaN,
Gary Brunotte,Piano,1948,NaN,TRUE,1/1/1948,,72,NaN,
Ray Bryant,Piano,1931,6/2/2011,FALSE,1/1/1931,6/2/2011,80,Illness,
Milt Buckner,Piano,7/10/1915,7/27/1977,FALSE,7/10/1915,7/27/1977,62,Heart Attack,
Roy Budd,Piano,1947,1993,FALSE,1/1/1947,1/1/1993,46,Brain Hemorrhage,
Alex Bugnon,Piano,10/10/1958,NaN,TRUE,10/10/1958,,61,NaN,
John Bunch,Piano,12/1/1921,3/30/2010,FALSE,12/1/1921,3/30/2010,88,Cancer (Skin),
Markus Burger,Piano,9/30/1966,NaN,TRUE,9/30/1966,,53,NaN,
Ralph Burns,Piano,6/29/1922,11/21/2001,FALSE,6/29/1922,11/21/2001,79,Stroke,
Dave Burrell,Piano,9/10/1940,NaN,TRUE,9/10/1940,,80,NaN,
Terry Burrus,Keyboards,NaN,NaN,NaN,,,NaN,NaN,
Joe Bushkin,Piano,1916,11/3/2004,FALSE,1/1/1916,11/3/2004,88,NaN,
Henry Butler,Piano,9/21/1948,7/2/2018,FALSE,9/21/1948,7/2/2018,69,Cancer,
Jaki Byard,Piano,6/15/1922,2/11/1999,FALSE,6/15/1922,2/11/1999,76,Murdered,
George Cables,Piano,11/14/1944,NaN,TRUE,11/14/1944,,75,NaN,
Michael Cain,Piano,4/2/1966,NaN,TRUE,4/2/1966,,54,NaN,
Uri Caine,Piano,6/8/1956,NaN,TRUE,6/8/1956,,64,NaN,
Joey Calderazzo,Piano,2/27/1965,NaN,TRUE,2/27/1965,,55,NaN,
Michel Camilo,Piano,4/4/1954,NaN,TRUE,4/4/1954,,66,NaN,
John Campbell,Piano,1955,NaN,TRUE,1/1/1955,,65,NaN,
Valerie Capers,Piano,5/24/1935,NaN,TRUE,5/24/1935,,85,NaN,
Hoagy Carmichael,Piano,1899-11-22,12/27/1981,FALSE,1899-11-22,12/27/1981,82,Heart Attack,
Judy Carmichael,Piano,11/27/1957,NaN,TRUE,11/27/1957,,62,NaN,
Barbara Carroll,Piano,1/25/1925,2/12/2017,FALSE,1/25/1925,2/12/2017,92,NaN,
Bill Carrothers,Piano,1964,NaN,TRUE,1/1/1964,,56,NaN,
Marc Cary,Piano,1/29/1967,NaN,TRUE,1/29/1967,,53,NaN,
Dick Cary,Trumpet,7/10/1916,1994,FALSE,7/10/1916,1/1/1994,77,NaN,
Page Cavanaugh,Piano,1922,2008,FALSE,1/1/1922,1/1/2008,86,Kidney Failure,
Bill Charlap,Piano,10/15/1966,NaN,TRUE,10/15/1966,,53,NaN,
Ray Charles,Vocals,9/23/1930,6/10/2004,FALSE,9/23/1930,6/10/2004,73,Liver Failure,
Jo-Yu Chen,Piano,NaN,NaN,NaN,,,NaN,NaN,
Cyrus Chestnut,Piano,1/17/1963,NaN,TRUE,1/17/1963,,57,NaN,
Billy Childs,Piano,1957,NaN,TRUE,1/1/1957,,63,NaN,
Joe Chindamo,Piano,1951,NaN,TRUE,1/1/1951,,69,NaN,
Herman Chittison,Piano,10/15/1908,3/8/1967,FALSE,10/15/1908,3/8/1967,58,NaN,
Eugen Cicero,Piano,1940,1997,FALSE,1/1/1940,1/1/1997,57,Cerebral Apoplexy,
Peter Cincotti,Vocals,7/11/1983,NaN,TRUE,7/11/1983,,37,NaN,
Sarah Jane Cion,Piano,NaN,NaN,NaN,,,NaN,NaN,
Alan Clare,Piano,5/31/1921,11/29/1993,FALSE,5/31/1921,11/29/1993,72,NaN,
Sonny Clark,Piano,7/21/1931,1/13/1963,FALSE,7/21/1931,1/13/1963,31,Overdose (Heroin),
Mathias Claus,Piano,5/15/1956,NaN,TRUE,5/15/1956,,64,NaN,
Gerald Clayton,Piano,5/11/1984,NaN,TRUE,5/11/1984,,36,NaN,
John Cocuzzi,Piano,1964,NaN,TRUE,1/1/1964,,56,NaN,
Dolo Coker,Piano,11/16/1927,4/13/1983,FALSE,11/16/1927,4/13/1983,55,Cancer,
Nat King Cole,Piano,3/17/1919,2/15/1965,FALSE,3/17/1919,2/15/1965,45,Cancer (Lung),
John Colianni,Piano,1963,NaN,TRUE,1/1/1963,,57,NaN,
George Colligan,Piano,12/29/1969,NaN,TRUE,12/29/1969,,50,NaN,
Alice Coltrane,Piano,8/27/1937,1/12/2007,FALSE,8/27/1937,1/12/2007,69,Respiratory Failure,
"Harry Connick, Jr.",Piano,1967,NaN,TRUE,1/1/1967,,53,NaN,
Marc Copland,Piano,5/27/1948,NaN,TRUE,5/27/1948,,72,NaN,
Laurent Coq,Piano,2/22/1970,NaN,TRUE,2/22/1970,,50,NaN,
Chick Corea,Piano,6/12/1941,NaN,TRUE,6/12/1941,,79,NaN,
Glenn Corneille,Piano,7/13/1970,8/23/2005,FALSE,7/13/1970,8/23/2005,35,Car Accident,
Eddie Costa,Piano,1930,7/28/1962,FALSE,1/1/1930,7/28/1962,32,Car Accident,
Johnny Costa,Piano,1/18/1922,10/11/1996,FALSE,1/18/1922,10/11/1996,74,Aplastic Anemia,
Tom Coster,Keyboards,8/21/1941,NaN,TRUE,8/21/1941,,79,NaN,
Sylvie Courvoisier,Piano,11/30/1968,NaN,TRUE,11/30/1968,,51,NaN,
Stanley Cowell,Piano,5/5/1941,NaN,TRUE,5/5/1941,,79,NaN,
Neil Cowley,Piano,11/5/1972,NaN,TRUE,11/5/1972,,47,NaN,
Dan Cray,Piano,1977,NaN,TRUE,1/1/1977,,43,NaN,
Marilyn Crispell,Piano,3/30/1947,NaN,TRUE,3/30/1947,,73,NaN,
Connie Crothers,Piano,5/2/1941,2016,FALSE,5/2/1941,1/1/2016,74,Cancer (Lung),
Brian Culbertson,Keyboards,1/12/1973,NaN,TRUE,1/12/1973,,47,NaN,
Jamie Cullum,Vocals,8/20/1979,NaN,TRUE,8/20/1979,,41,NaN,
Christopher Culpo,Piano,NaN,NaN,NaN,,,NaN,NaN,
Bill Cunliffe,Piano,6/26/1956,NaN,TRUE,6/26/1956,,64,NaN,
Maestro Curtis,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Franco D'Andrea,Piano,3/8/1941,NaN,TRUE,3/8/1941,,79,NaN,
Carsten Dahl,Piano,1967,NaN,TRUE,1/1/1967,,53,NaN,
Harald Dahlstrøm,Piano,3/2/1961,NaN,TRUE,3/2/1961,,59,NaN,
Albert Dailey,Piano,6/16/1939,6/26/1984,FALSE,6/16/1939,6/26/1984,45,Pneumonia,
Eyolf Dale,Piano,3/5/1985,NaN,TRUE,3/5/1985,,35,NaN,
Tadd Dameron,Piano,2/21/1917,3/8/1965,FALSE,2/21/1917,3/8/1965,48,Cancer,
Putney Dandridge,Piano,1902,2/15/1946,FALSE,1/1/1902,2/15/1946,44,NaN,
Harold Danko,Piano,6/13/1947,NaN,TRUE,6/13/1947,,73,NaN,
Kris Davis,Piano,1980,NaN,TRUE,1/1/1980,,40,NaN,
Ron Davis,Piano,NaN,NaN,NaN,,,NaN,NaN,
Suzanne Davis,Piano,1953,NaN,TRUE,1/1/1953,,67,NaN,
"Walter Davis, Jr.",Piano,9/2/1932,6/2/1990,FALSE,9/2/1932,6/2/1990,57,Liver Disease,
Xavier Davis,Piano,1971,NaN,TRUE,1/1/1971,,49,NaN,
Blossom Dearie,Vocals,4/28/1924,2/7/2009,FALSE,4/28/1924,2/7/2009,84,Natural Causes,
Benoit Delbecq,Piano,6/6/1966,NaN,TRUE,6/6/1966,,54,NaN,
Eumir Deodato,Keyboards,6/22/1942,NaN,TRUE,6/22/1942,,78,NaN,
Dena DeRose,Vocals,2/15/1966,NaN,TRUE,2/15/1966,,54,NaN,
Stuart de Silva,Piano,NaN,NaN,NaN,,,NaN,NaN,
Lorraine Desmarais,Piano,8/15/1956,NaN,TRUE,8/15/1956,,64,NaN,
Neville Dickie,Piano,1937,NaN,TRUE,1/1/1937,,83,NaN,
Eldar Djangirov,Piano,1/28/1987,NaN,TRUE,1/28/1987,,33,NaN,
Steve Dobrogosz,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Niels Lan Doky,Piano,10/3/1963,NaN,TRUE,10/3/1963,,56,NaN,
João Donato,Piano,8/17/1934,NaN,TRUE,8/17/1934,,86,NaN,
Dorothy Donegan,Piano,4/6/1922,5/19/1998,FALSE,4/6/1922,5/19/1998,76,Cancer,
Armen Donelian,Piano,1950,NaN,TRUE,1/1/1950,,70,NaN,
Kit Downes,Piano,1986,NaN,TRUE,1/1/1986,,34,NaN,
Kenny Drew,Piano,8/28/1928,8/4/1993,FALSE,8/28/1928,8/4/1993,64,Cancer (Stomach),
"Kenny Drew, Jr.",Piano,1958,8/3/2014,FALSE,1/1/1958,8/3/2014,56,NaN,
George Duke,Vocals,1/12/1946,8/5/2013,FALSE,1/12/1946,8/5/2013,67,Leukemia,
Jozef Dumoulin,Fender Rhodes,4/27/1975,NaN,TRUE,4/27/1975,,45,NaN,
Hank Duncan,Piano,1894,1968,FALSE,1894-01-01,1/1/1968,73,NaN,
Geoff Eales,Piano,1951,NaN,TRUE,1/1/1951,,69,NaN,
John Eaton,Piano,1934,NaN,TRUE,1/1/1934,,86,NaN,
Marte Eberson,Keyboards,1987,NaN,TRUE,1/1/1987,,33,NaN,
Luiz Eça,Piano,4/3/1936,5/24/1992,FALSE,4/3/1936,5/24/1992,56,NaN,
Joanna Eden,Piano,NaN,NaN,NaN,,,NaN,NaN,
Peter Edwards,Piano,NaN,NaN,NaN,,,NaN,NaN,
Taylor Eigsti,Piano,9/24/1984,NaN,TRUE,9/24/1984,,35,NaN,
Eliane Elias,Piano,3/19/1960,NaN,TRUE,3/19/1960,,60,NaN,
Duke Ellington,Piano,1899-04-29,5/24/1974,FALSE,1899-04-29,5/24/1974,75,Lung Cancer,
Bobby Enriquez,Piano,5/20/1943,1996,FALSE,5/20/1943,1/1/1996,52,Pulmonary Embolism,
Aydın Esen,Piano,1962,NaN,TRUE,1/1/1962,,58,NaN,
Bill Evans,Piano,8/16/1929,9/15/1980,FALSE,8/16/1929,9/15/1980,51,Pneumonia,
Gil Evans,Piano,1912,3/20/1988,FALSE,1/1/1912,3/20/1988,76,Peritonitis,
Orrin Evans,Piano,3/28/1975,NaN,TRUE,3/28/1975,,45,NaN,
Don Ewell,Piano,11/14/1916,8/9/1983,FALSE,11/14/1916,8/9/1983,66,Stroke,
Antonio Faraò,Piano,1/19/1965,NaN,TRUE,1/19/1965,,55,NaN,
Victor Feldman,Vibraphone,4/7/1934,5/12/1987,FALSE,4/7/1934,5/12/1987,53,Heart Attack,
Russell Ferrante,Piano,1952,NaN,TRUE,1/1/1952,,68,NaN,
Manfredo Fest,Piano,5/13/1936,10/8/1999,FALSE,5/13/1936,10/8/1999,63,Liver Failure,
Bobby Few,Piano,10/21/1935,NaN,TRUE,10/21/1935,,84,NaN,
Svein Finnerud,Piano,1945,NaN,TRUE,1/1/1945,,75,NaN,
Clare Fischer,Synthesizer,10/22/1928,1/26/2012,FALSE,10/22/1928,1/26/2012,83,Heart Attack,
Frode Fjellheim,Piano,8/27/1959,NaN,TRUE,8/27/1959,,61,NaN,
Tommy Flanagan,Piano,3/16/1930,11/16/2001,FALSE,3/16/1930,11/16/2001,71,Brain Aneurysm,
Bob Florence,Piano,5/20/1932,5/15/2008,FALSE,5/20/1932,5/15/2008,75,Pneumonia,
Roberto Fonseca,Piano,1975,NaN,TRUE,1/1/1975,,45,NaN,
Joel Forrester,Piano,1946,NaN,TRUE,1/1/1946,,74,NaN,
Sullivan Fortner,Piano,12/29/1986,NaN,TRUE,12/29/1986,,33,NaN,
Herman Foster,Piano,4/26/1928,4/3/1999,FALSE,4/26/1928,4/3/1999,70,NaN,
Ray Foxley,Piano,1928,2002,FALSE,1/1/1928,1/1/2002,74,NaN,
Harmen Fraanje,Piano,1/23/1976,NaN,TRUE,1/23/1976,,44,NaN,
Ming Freeman,Keyboards,10/26/1963,NaN,TRUE,10/26/1963,,56,NaN,
Russ Freeman,Piano,5/28/1926,6/27/2002,FALSE,5/28/1926,6/27/2002,76,NaN,
Sharon Freeman,Piano,NaN,NaN,NaN,,,NaN,NaN,
Don Friedman,Piano,5/4/1935,6/30/2016,FALSE,5/4/1935,6/30/2016,81,Cancer (Pancreas),
David Frishberg,Piano,3/23/1933,NaN,TRUE,3/23/1933,,87,NaN,
Satoko Fujii,Piano,10/9/1958,NaN,TRUE,10/9/1958,,61,NaN,
Larry Fuller,Piano,7/14/1965,NaN,TRUE,7/14/1965,,55,NaN,
Arve Furset,Piano,12/5/1964,NaN,TRUE,12/5/1964,,55,NaN,
Joel Futterman,Piano,1946,NaN,TRUE,1/1/1946,,74,NaN,
Hal Galper,Piano,4/18/1938,NaN,TRUE,4/18/1938,,82,NaN,
Salman Gambarov,Piano,4/18/1959,NaN,TRUE,4/18/1959,,61,NaN,
Laszlo Gardony,Piano,1956,NaN,TRUE,1/1/1956,,64,NaN,
Red Garland,Piano,5/13/1923,4/23/1984,FALSE,5/13/1923,4/23/1984,60,Heart Attack,
Erroll Garner,Piano,6/15/1921,1/2/1977,FALSE,6/15/1921,1/2/1977,55,COPD,
Michael Garrick,Piano,1933,2011,FALSE,1/1/1933,1/1/2011,78,Heart Disease,
Giorgio Gaslini,Piano,10/22/1929,7/29/2014,FALSE,10/22/1929,7/29/2014,84,NaN,
Charles Gayle,Tenor saxophone,2/28/1939,NaN,TRUE,2/28/1939,,81,NaN,
Chris Geith,Piano,NaN,NaN,NaN,,,NaN,NaN,
Leo Genovese,Piano,1979,NaN,TRUE,1/1/1979,,41,NaN,
George Gershwin,Piano,1898,1937,FALSE,1898-01-01,1/1/1937,38,Cancer (Brain),
Lafayette Gilchrist,Piano,8/3/1967,NaN,TRUE,8/3/1967,,53,NaN,
Anne-Marie Giørtz,Vocals,3/19/1958,NaN,TRUE,3/19/1958,,62,NaN,
Ole Henrik Giørtz,Piano,1/10/1955,NaN,TRUE,1/10/1955,,65,NaN,
Egberto Gismonti,8-string guitar,12/5/1947,NaN,TRUE,12/5/1947,,72,NaN,
Robert Glasper,Piano,4/5/1978,NaN,TRUE,4/5/1978,,42,NaN,
Aaron Goldberg,Piano,4/30/1974,NaN,TRUE,4/30/1974,,46,NaN,
Larry Goldings,Piano,8/28/1968,NaN,TRUE,8/28/1968,,52,NaN,
Gil Goldstein,Piano,11/6/1950,NaN,TRUE,11/6/1950,,69,NaN,
Rubén González,Piano,5/26/1919,12/8/2003,FALSE,5/26/1919,12/8/2003,84,Illness,
Federico González Peña,Piano,1966,NaN,TRUE,1/1/1966,,54,NaN,
Gordon Goodwin,Piano,1954,NaN,TRUE,1/1/1954,,66,NaN,
Markus Gottschlich,Piano,NaN,NaN,NaN,,,NaN,NaN,
Haakon Graf,Piano,3/21/1955,NaN,TRUE,3/21/1955,,65,NaN,
Tom Grant,Piano,2/22/1946,NaN,TRUE,2/22/1946,,74,NaN,
